P[mb]	z[m]	T[C]	Td[C]	WS[m/s]
925.0	0.00	23.6	15.6	0.000
924.1	18.00	23.3	16.3	12.208
923.7	36.00	23.0	16.1	12.223
923.2	42.00	22.6	15.9	12.228
922.7	48.00	22.3	15.6	12.244
922.0	54.00	22.0	15.3	12.280
921.5	59.00	21.7	15.1	12.331
920.9	65.00	21.4	14.8	12.357
920.4	70.00	21.4	14.9	12.383
919.9	75.00	21.4	14.9	12.424
919.3	80.00	21.2	14.6	12.486
918.8	84.00	21.1	14.7	12.558
918.3	88.00	21.1	14.7	12.640
917.8	93.00	20.9	14.3	12.666
917.3	98.00	20.6	14.0	12.635
916.8	102.00	20.4	13.8	12.547
916.3	106.40	20.3	13.8	12.398
915.9	110.90	20.2	13.8	12.244
915.4	114.40	20.2	13.8	12.089
915.0	117.90	20.2	13.9	11.951
914.5	121.90	20.1	13.9	11.832
914.1	125.90	20.1	13.9	11.724
913.7	128.40	20.0	13.9	11.637
913.3	130.90	19.9	13.9	11.580
912.9	133.90	19.9	13.9	11.560
912.5	138.90	19.8	13.9	11.549
912.1	142.40	19.7	13.9	11.554
911.8	145.90	19.7	13.9	11.560
911.4	149.40	19.6	13.9	11.534
911.1	152.90	19.6	13.9	11.472
910.7	155.90	19.6	13.9	13.741
910.3	159.90	19.9	14.2	13.592
909.9	163.90	19.9	14.2	13.442
909.5	168.90	19.7	14.1	13.298
909.0	172.90	19.7	14.1	13.149
908.6	177.90	19.9	14.4	12.985
908.2	182.90	19.8	14.2	12.805
907.7	187.90	19.7	14.2	12.573
907.2	191.90	19.6	14.1	12.336
906.8	197.40	19.6	14.1	12.089
906.3	202.90	19.6	14.2	11.837
905.8	206.90	19.6	14.1	11.585
905.4	210.90	19.5	14.1	11.364
905.0	212.90	19.4	14.0	11.143
904.5	214.90	19.4	14.0	10.937
904.1	218.40	19.4	14.0	10.736
903.6	221.90	19.4	14.0	10.556
903.2	226.90	19.4	14.1	10.387
902.7	231.90	19.6	14.3	10.248
902.2	238.30	19.5	14.2	10.129
901.7	244.80	19.5	14.3	10.037
901.1	251.80	19.8	14.7	9.954
900.5	258.80	20.0	14.8	9.888
899.9	267.80	19.8	14.5	9.816
899.3	276.80	19.5	14.3	9.733
898.6	281.80	19.3	14.2	9.630
898.0	286.80	19.4	14.4	9.502
897.3	292.80	19.5	14.3	9.342
896.7	297.80	19.4	14.2	9.167
896.0	301.80	19.3	14.3	8.992
895.5	308.80	19.6	14.6	8.818
894.9	313.80	19.7	14.7	8.648
894.3	318.80	19.8	14.9	8.468
893.8	322.30	19.9	15.0	8.267
893.2	325.80	19.7	14.7	8.036
892.7	329.80	19.5	14.3	7.768
892.1	335.80	19.3	14.1	7.459
891.6	342.80	19.1	13.9	7.125
891.0	348.80	19.2	14.1	6.765
890.4	354.70	19.1	14.1	6.395
889.8	361.70	18.9	13.9	6.019
889.1	369.70	19.1	14.1	5.643
888.5	376.70	19.3	14.5	5.268
887.8	382.70	19.4	14.7	4.903
887.0	389.70	19.6	14.9	4.537
