P[mb]	z[m]	T[C]	Td[C]	WS[m/s]
924.0	0.00	25.4	16.2	0.000
923.6	14.00	25.2	16.6	11.400
923.2	28.00	25.0	16.9	11.498
922.5	34.00	25.1	17.0	11.632
921.8	40.00	25.2	17.1	11.750
921.1	46.00	25.2	17.0	11.853
920.5	52.00	25.2	17.0	11.935
919.9	56.00	25.2	16.9	11.992
919.3	60.00	25.1	16.8	12.079
918.7	64.00	25.1	16.8	12.197
918.1	68.00	25.1	16.7	12.311
917.5	77.00	25.0	16.7	12.419
916.9	86.00	25.0	16.6	12.470
916.4	88.00	25.0	16.6	12.516
915.8	90.00	24.9	16.6	12.583
915.3	97.00	24.9	16.6	12.676
914.7	104.00	25.0	16.6	12.799
914.2	109.90	25.0	16.5	12.892
913.6	113.90	25.1	16.6	12.959
913.1	116.90	25.1	16.7	12.979
912.5	120.90	25.0	16.6	12.979
912.0	126.90	25.0	16.5	12.974
911.5	132.90	25.0	16.5	12.979
911.0	137.90	25.1	16.6	13.026
910.4	142.40	25.1	16.5	13.082
909.9	146.90	25.0	16.5	13.154
909.4	152.40	25.1	16.5	13.221
908.9	157.90	25.2	16.6	13.273
908.3	163.40	25.3	16.6	13.324
907.8	168.90	25.3	16.5	13.355
907.3	173.90	25.2	16.5	14.554
906.8	178.90	25.3	16.5	14.672
906.2	183.90	25.4	16.5	14.790
905.7	188.90	25.3	16.5	14.909
905.2	192.90	25.3	16.4	15.017
904.7	196.90	25.4	16.4	15.114
904.2	202.40	25.4	16.4	15.207
903.7	207.90	25.3	16.3	15.269
903.2	212.90	25.3	16.3	15.330
902.7	217.90	25.2	16.2	15.387
902.2	223.40	25.2	16.2	15.433
901.6	228.90	25.2	16.1	15.480
901.1	233.80	25.1	16.1	15.521
900.6	237.80	25.1	16.0	15.552
900.1	242.80	25.0	16.0	15.577
899.6	248.80	25.0	15.9	15.593
899.1	254.80	25.0	15.9	15.608
898.5	259.80	24.9	15.8	15.624
898.1	262.80	24.9	15.9	15.655
897.6	267.80	24.9	15.8	15.701
897.1	271.80	24.8	15.7	15.747
896.6	275.80	24.8	15.7	15.793
896.2	280.80	24.8	15.7	15.824
895.7	284.80	24.8	15.7	15.850
895.3	288.80	24.7	15.7	15.865
894.8	292.80	24.7	15.7	15.871
894.4	296.80	24.6	15.7	15.871
894.0	301.80	24.6	15.6	15.865
893.5	305.80	24.6	15.6	15.865
893.1	310.80	24.6	15.6	15.876
892.7	314.80	24.5	15.6	15.881
892.3	318.80	24.5	15.5	15.876
891.9	322.80	24.5	15.5	15.855
891.5	326.80	24.5	15.5	15.829
891.0	330.80	24.4	15.4	15.793
890.6	334.80	24.4	15.4	15.763
890.2	338.80	24.4	15.4	15.732
889.8	342.80	24.4	15.4	15.711
889.4	347.30	24.3	15.3	15.701
888.9	351.80	24.2	15.3	15.691
888.5	355.70	24.2	15.3	15.680
888.0	359.70	24.2	15.2	15.675
887.5	364.70	24.1	15.2	15.670
887.1	369.70	24.1	15.2	15.660
886.6	375.20	24.1	15.2	15.649
886.1	380.70	24.0	15.1	15.644
885.6	386.20	24.0	15.1	15.639
885.1	391.70	23.9	15.0	15.639
884.7	396.20	23.9	15.0	15.644
884.2	400.70	23.9	15.0	15.644
883.7	404.70	23.9	15.0	15.639
883.3	408.70	23.9	15.0	15.634
882.9	411.70	23.8	14.9	15.624
882.5	416.70	23.8	14.9	15.613
882.1	420.70	23.7	14.9	15.603
881.7	424.70	23.7	14.9	15.598
881.3	427.70	23.7	14.8	15.593
880.9	431.70	23.6	14.8	15.588
880.5	435.70	23.6	14.8	15.588
880.1	439.70	23.6	14.8	15.583
879.7	444.70	23.6	14.8	15.583
879.3	448.70	23.5	14.7	15.577
878.9	452.70	23.5	14.8	15.567
878.5	456.70	23.5	14.7	15.557
878.1	460.70	23.4	14.6	15.546
877.7	464.20	23.4	14.6	15.536
877.3	467.70	23.4	14.7	15.521
876.9	471.60	23.3	14.6	15.516
876.5	475.60	23.3	14.6	15.505
876.1	480.10	23.2	14.5	15.500
875.7	484.60	23.2	14.5	15.490
875.3	488.60	23.1	14.5	15.474
874.9	492.60	23.1	14.5	15.444
874.5	496.10	23.1	14.4	15.413
874.1	499.60	23.1	14.4	15.372
873.7	503.60	23.0	14.4	15.336
873.3	507.60	23.0	14.4	15.305
872.9	511.60	22.9	14.3	15.274
872.5	515.60	22.9	14.4	15.248
872.1	519.60	22.9	14.3	15.228
871.7	523.60	22.8	14.3	15.207
871.3	527.60	22.9	14.3	15.181
870.9	531.60	22.8	14.3	15.150
870.6	534.60	22.8	14.3	15.120
870.2	538.60	22.7	14.2	15.083
869.8	542.60	22.7	14.3	15.053
869.4	546.60	22.7	14.2	15.032
869.0	550.60	22.6	14.2	15.011
868.6	554.60	22.6	14.1	15.001
868.2	557.60	22.6	14.2	14.991
867.8	561.60	22.5	14.1	14.975
867.4	565.60	22.6	14.1	14.955
867.0	569.60	22.5	14.1	14.929
866.6	573.60	22.5	14.1	14.898
866.2	577.60	22.4	14.1	14.873
865.8	581.60	22.4	14.1	14.847
865.4	584.50	22.4	14.1	14.826
865.0	589.50	22.3	14.0	14.811
864.6	593.50	22.3	14.0	14.801
864.2	597.50	22.2	14.0	14.795
863.8	601.50	22.2	14.0	14.790
863.4	605.50	22.2	14.0	14.780
863.0	609.50	22.1	14.0	14.770
862.6	612.50	22.1	13.9	14.759
862.2	616.50	22.1	13.9	14.749
861.8	620.50	22.0	13.9	14.744
861.4	624.50	22.0	13.9	14.754
861.0	628.00	22.0	13.8	14.765
860.6	631.50	21.9	13.8	14.790
860.3	635.00	21.9	13.8	14.816
859.9	638.50	21.9	13.8	14.842
859.5	643.00	21.9	13.8	14.862
859.1	647.50	21.9	13.8	14.873
858.7	651.00	21.8	13.7	14.873
858.3	654.50	21.8	13.7	14.867
857.9	658.50	21.7	13.7	14.857
857.5	662.50	21.7	13.7	14.852
857.1	667.00	21.7	13.6	14.847
856.7	671.50	21.6	13.6	14.842
856.3	676.00	21.6	13.6	14.847
855.9	680.50	21.6	13.6	14.842
855.5	684.50	21.5	13.6	14.842
855.1	688.50	21.5	13.6	14.821
854.7	691.40	21.5	13.6	14.795
854.3	695.40	21.4	13.5	14.754
853.9	699.40	21.4	13.5	14.708
853.6	703.40	21.4	13.5	14.667
853.2	707.40	21.3	13.5	14.626
852.8	712.40	21.3	13.4	14.600
852.4	715.40	21.3	13.4	14.584
852.1	719.40	21.2	13.4	14.574
851.7	723.40	21.1	13.4	14.564
851.3	727.40	21.1	13.4	14.554
851.0	731.40	21.1	13.4	14.543
850.6	735.40	21.1	13.4	14.528
850.3	739.40	21.0	13.4	14.502
849.9	743.40	21.0	13.4	14.482
849.5	747.40	20.9	13.3	14.461
849.2	750.90	20.9	13.4	14.451
848.8	754.40	20.9	13.3	14.446
848.4	757.90	20.8	13.3	14.446
848.1	761.40	20.9	13.3	14.451
847.7	765.40	20.8	13.3	14.451
847.3	769.40	20.8	13.3	14.446
847.0	773.40	20.7	13.2	14.435
846.6	777.40	20.7	13.3	14.415
846.2	781.40	20.6	13.2	14.389
845.9	784.40	20.6	13.2	14.363
845.5	788.40	20.6	13.2	14.338
845.1	792.40	20.5	13.2	14.312
844.7	796.30	20.5	13.2	14.291
844.4	800.30	20.5	13.1	14.271
844.0	803.30	20.4	13.1	14.250
843.6	807.30	20.4	13.1	14.224
843.3	811.30	20.4	13.1	14.194
842.9	816.30	20.3	13.1	14.163
842.5	820.30	20.3	13.1	14.127
842.1	824.30	20.2	13.1	14.096
841.8	827.30	20.2	13.0	14.065
841.4	831.30	20.2	13.0	14.044
841.0	835.30	20.1	13.0	14.029
840.7	838.30	20.1	13.0	14.013
840.3	842.30	20.1	13.0	14.003
839.9	845.30	20.0	12.9	13.993
839.5	849.30	20.0	12.9	13.977
839.2	853.30	20.0	12.9	13.967
838.8	857.30	19.9	12.9	13.962
838.4	861.30	19.9	12.9	13.957
838.0	865.30	19.9	12.9	13.957
837.7	868.30	19.9	12.9	13.957
837.3	872.30	19.8	12.8	13.957
836.9	877.30	19.8	12.8	13.962
836.5	880.80	19.7	12.8	13.957
836.2	884.30	19.7	12.8	13.952
