P[mb]	z[m]	T[C]	Td[C]	WS[m/s]
924.0	0.00	27.5	16.9	0.000
923.7	3.20	27.5	16.9	2.732
923.3	6.30	27.5	16.9	2.819
923.0	9.40	27.4	16.9	2.907
922.7	12.50	27.4	16.9	2.989
922.3	15.70	27.4	16.9	3.076
922.0	18.80	27.4	16.9	3.159
921.7	21.90	27.4	17.0	3.246
921.4	25.10	27.3	17.0	3.334
921.0	28.20	27.3	17.0	3.545
920.7	31.30	27.3	17.0	3.714
920.4	34.40	27.3	17.0	3.848
920.0	37.60	27.2	17.0	3.997
919.7	40.70	27.2	17.0	4.193
919.4	43.80	27.2	17.0	4.435
919.0	47.00	27.2	17.0	4.671
918.7	50.10	27.2	17.0	4.882
918.4	53.20	27.1	17.0	5.047
918.1	56.40	27.1	17.0	5.170
917.7	59.50	27.1	17.1	5.294
917.4	62.60	27.1	17.1	5.422
917.1	65.70	27.1	17.1	5.556
916.7	68.90	27.0	17.1	5.705
916.4	72.00	27.0	17.1	5.844
916.1	75.10	27.0	17.1	5.983
915.7	78.30	27.0	17.1	6.106
915.4	81.40	26.9	17.1	6.225
915.1	84.50	26.9	17.1	6.333
914.8	87.60	26.9	17.1	6.431
914.4	90.80	26.9	17.1	6.533
914.1	93.90	26.9	17.1	5.685
913.8	97.00	26.9	17.2	5.993
913.5	100.20	26.8	17.2	6.323
913.1	103.30	26.8	17.2	6.657
912.8	106.40	26.8	17.2	7.002
912.5	109.50	26.8	17.2	7.357
912.1	112.70	26.7	17.2	7.717
911.8	115.80	26.7	17.2	8.077
911.5	118.90	26.5	17.0	8.432
911.1	121.90	26.5	17.0	8.787
910.8	124.90	26.5	16.9	9.131
910.4	133.90	26.5	16.9	9.466
910.1	137.90	26.4	16.9	9.780
909.7	140.90	26.4	16.8	10.068
909.4	143.90	26.4	16.8	10.335
909.0	146.90	26.4	16.8	10.587
908.6	150.90	26.3	16.7	10.819
908.2	154.90	26.3	16.7	11.025
907.8	158.90	26.3	16.7	11.220
907.5	162.90	26.2	16.7	11.405
907.1	166.90	26.2	16.7	11.580
906.7	171.40	26.2	16.6	11.745
906.3	175.90	26.1	16.6	11.894
905.9	179.90	26.1	16.5	12.028
905.5	183.90	26.1	16.5	12.146
905.1	186.90	26.0	16.5	12.249
904.7	189.90	26.0	16.5	12.336
904.3	193.90	26.0	16.4	12.414
903.9	197.90	25.9	16.4	12.480
903.5	200.20	25.9	16.4	12.532
903.1	202.50	25.9	16.4	12.568
902.7	204.90	25.9	16.4	12.594
902.4	209.40	25.9	16.4	12.609
902.0	213.90	25.8	16.3	12.609
901.6	219.90	25.8	16.3	12.604
901.2	222.90	25.8	16.3	12.594
900.8	226.90	25.7	16.3	12.573
900.5	228.30	25.7	16.3	12.552
900.1	229.80	25.6	16.2	12.532
899.7	233.80	25.6	16.2	12.506
899.4	239.80	25.6	16.2	12.480
899.0	243.30	25.6	16.2	12.444
898.6	246.80	25.6	16.2	12.403
898.3	251.80	25.6	16.2	12.352
897.9	256.80	25.5	16.1	12.285
897.6	259.20	25.5	16.1	12.218
897.2	261.50	25.4	16.0	12.146
896.8	263.80	25.4	16.0	12.079
896.5	266.80	25.4	16.0	12.023
896.1	269.80	25.4	16.0	11.966
895.7	276.80	25.3	16.0	11.904
895.4	280.30	25.2	15.9	11.837
895.0	283.80	25.2	15.9	11.765
894.6	288.30	25.2	15.9	11.693
894.2	292.80	25.2	15.9	11.616
893.8	298.80	25.1	15.9	11.549
893.3	304.80	25.1	15.8	11.488
892.9	309.80	25.0	15.8	11.436
892.4	314.80	25.0	15.7	11.395
892.0	319.80	24.9	15.7	11.359
891.5	323.80	24.9	15.7	11.338
891.0	327.80	24.9	15.7	11.328
890.6	331.30	24.9	15.6	11.318
890.1	334.80	24.8	15.6	11.297
889.7	338.80	24.8	15.6	11.271
889.3	341.80	24.7	15.5	11.241
888.9	345.80	24.7	15.6	11.205
888.5	349.70	24.7	15.5	11.174
888.1	353.70	24.6	15.5	11.148
887.7	357.70	24.6	15.4	11.127
887.3	361.70	24.6	15.4	11.107
886.9	365.70	24.6	15.4	11.081
886.5	370.70	24.5	15.4	11.061
886.1	374.70	24.5	15.4	11.040
885.7	377.70	24.4	15.3	11.019
885.3	380.70	24.4	15.3	10.989
884.9	384.70	24.4	15.4	10.958
884.5	388.70	24.3	15.3	10.927
884.2	392.70	24.3	15.3	10.901
883.8	396.70	24.3	15.3	10.886
883.4	400.70	24.2	15.2	10.880
883.0	404.70	24.2	15.2	10.886
882.6	408.70	24.1	15.2	10.901
882.2	411.70	24.1	15.2	10.922
881.9	415.20	24.1	15.2	10.942
881.5	418.70	24.1	15.2	10.958
881.1	421.70	24.0	15.1	10.973
880.8	424.70	23.9	15.1	10.983
880.4	429.20	23.9	15.1	10.994
880.1	433.70	23.9	15.1	11.009
879.8	436.20	23.9	15.1	11.030
879.4	438.70	23.8	15.1	11.055
879.1	441.20	23.8	15.1	11.081
878.8	443.70	23.8	15.0	11.107
878.4	447.20	23.8	15.0	11.127
878.1	450.70	23.7	15.0	11.138
877.8	454.70	23.7	15.0	11.143
877.4	458.70	23.7	15.0	11.138
877.1	461.70	23.6	15.0	11.127
876.8	464.70	23.6	15.0	11.112
876.5	466.60	23.6	15.0	11.102
876.2	468.60	23.6	14.9	11.097
876.0	470.60	23.5	14.9	11.102
875.7	472.60	23.5	14.9	11.102
875.4	474.60	23.5	14.9	11.107
875.2	477.60	23.5	14.9	11.112
874.9	480.60	23.5	14.9	11.117
874.7	483.60	23.4	14.8	11.122
874.4	485.60	23.4	14.8	11.122
874.1	489.60	23.4	14.8	11.122
873.9	491.60	23.3	14.8	11.122
873.6	493.60	23.3	14.8	11.122
