z[m]		ws[m/s]		rms[m/s]
0.000		4.502		1.544
28.191		6.839		1.532
56.382		9.590		1.512
84.572		8.769		0.233
112.763		10.719		0.251
140.954		12.625		0.146
169.145		13.876		0.081
197.335		14.724		0.075
225.526		15.273		0.048
253.717		15.679		0.039
281.908		15.877		0.027
310.099		15.909		0.036
338.289		15.867		0.049
366.480		15.896		0.058
394.671		15.971		0.071
422.862		16.019		0.074
451.052		15.920		0.058
479.243		15.818		0.058
507.434		15.647		0.062
535.625		15.516		0.061
563.816		15.346		0.061
592.006		15.210		0.059
620.197		15.109		0.078
648.388		15.067		0.085
676.579		15.102		0.091
704.769		15.128		0.083
732.960		15.161		0.082
761.151		15.118		0.081
789.342		15.007		0.081
817.533		14.883		0.069
845.723		14.678		0.064
873.914		14.463		0.057
902.105		14.179		0.062
930.296		13.832		0.039
958.487		13.633		0.057
986.677		13.451		0.043
1014.868		13.339		0.033
1043.059		13.256		0.059
1071.250		13.216		0.056
1099.440		13.074		0.081
1127.631		13.048		0.099
1155.822		13.007		0.076
1184.013		12.980		0.077
1212.203		12.887		0.099
1240.394		12.884		0.077
1268.585		12.782		0.129
1296.776		12.807		0.132
1324.967		12.821		0.141
1353.157		12.886		0.111
1381.348		13.151		0.136
1409.539		13.411		0.128
1437.730		13.568		0.142
1465.921		13.718		0.157
1494.111		13.933		0.151
1522.302		13.970		0.211
1550.493		14.128		0.255
1578.684		14.271		0.295
1606.875		14.356		0.363
1635.065		14.369		0.400
1663.256		14.641		0.430
1691.447		14.618		0.450
1719.638		14.548		0.468
1747.828		14.279		0.480
1776.019		14.111		0.475
1804.210		11.654		0.939
1832.401		11.285		0.999
1860.592		10.908		1.039
1888.782		10.530		1.092
1916.973		10.102		1.126
1945.164		9.717		1.034
1973.355		9.669		1.039
2001.545		11.711		0.460
2029.736		11.735		0.509
2057.927		11.892		0.413
2086.118		11.625		0.299
2114.309		11.234		0.281
2142.499		10.962		0.463
2170.690		11.009		0.463
2198.881		10.918		0.499
2227.072		10.411		0.610
2255.263		9.785		0.564
2283.453		9.756		0.623
2311.644		10.426		0.692
2339.835		10.568		0.650
2368.026		10.289		0.566
2396.216		11.479		1.401
2424.407		9.978		2.473
2452.598		10.169		2.541
2480.789		10.703		2.933
2508.979		8.151		3.339
2537.170		7.464		3.601
2565.361		5.316		4.330
2593.552		5.137		3.810
2621.742		6.773		3.181
2649.933		4.905		4.364
2678.124		6.304		3.469
2706.315		7.756		3.134
2734.506		7.015		2.452
2762.697		7.418		1.798
2790.887		6.483		2.057
2819.078		6.891		1.868
2847.269		5.348		3.037
2875.459		6.145		3.386
2903.650		2.530		2.588
2931.841		0.095		2.170
2960.032		2.069		2.035
2988.223		8.006		2.396
3016.413		5.839		2.231
3044.604		6.690		1.980
3072.795		3.952		2.224
3100.986		1.556		2.435
3129.177		3.080		2.889
3157.367		0.196		3.730
3185.558		3.914		4.314
3213.749		5.575		5.249
3241.940		7.630		6.189
3270.131		9.470		6.660
3298.321		9.346		6.027
3326.512		11.938		4.647
3354.703		9.085		4.829
3382.894		3.749		3.983
3411.084		3.821		3.507
3439.275		3.478		2.312
3467.466		2.326		2.114
3495.657		5.862		2.286
3523.848		8.088		3.789
3552.038		9.857		2.650
3580.229		9.219		2.837
3608.420		11.408		2.534
3636.611		10.576		2.221
3664.802		5.974		3.335
3692.992		2.601		2.428
3721.183		2.559		2.537
3749.374		0.213		3.769
3777.564		4.278		3.954
3805.756		7.454		3.766
3833.946		6.932		4.760
3862.137		1.783		5.040
3890.327		3.028		4.818
3918.519		7.469		3.002
3946.709		6.774		2.816
3974.900		4.719		2.128
4003.091		2.134		2.642
4031.281		1.706		2.768
4059.473		6.866		2.912
4087.663		3.462		2.295
4115.854		5.440		2.349
4144.044		2.593		2.035
4172.235		2.836		1.520
4200.426		3.783		3.098
4228.617		1.706		3.306
4256.808		1.744		2.750
4284.999		1.759		2.384
4313.189		7.770		2.267
4341.380		5.546		2.146
4369.571		0.856		2.522
4397.761		2.789		1.618
4425.953		5.236		1.480
4454.143		7.210		1.328
4482.334		9.009		1.512
4510.525		7.356		1.952
4538.715		11.158		2.741
4566.906		15.020		3.313
4595.097		16.816		2.290
4623.288		18.249		2.203
4651.479		18.202		1.808
4679.669		19.847		2.455
