z[m]		ws[m/s]		rms[m/s]
4707.860		20.082		3.200
4736.051		16.268		3.772
4764.242		15.854		4.547
4792.433		15.756		4.375
4820.624		15.476		4.921
4848.814		15.031		4.053
4877.005		9.700		4.480
4905.196		8.896		4.790
4933.386		4.392		4.135
4961.578		3.742		4.594
4989.768		3.550		3.687
5017.959		6.410		4.062
5046.150		4.397		3.600
5074.340		6.509		2.428
5102.531		10.407		2.963
5130.722		16.095		3.485
5158.913		15.353		3.347
5187.104		13.393		2.716
5215.294		12.678		2.087
5243.485		13.240		1.609
5271.676		11.851		2.692
5299.867		8.786		1.945
5328.058		2.985		1.606
5356.248		6.366		2.162
5384.439		7.177		2.649
5412.630		8.291		4.348
5440.821		4.864		4.164
5469.011		6.073		3.621
5497.202		7.101		3.900
5525.393		8.188		3.274
5553.583		6.524		3.424
5581.775		2.508		3.342
5609.965		6.210		2.817
5638.156		10.503		1.564
5666.347		9.811		2.582
5694.538		8.983		3.518
5722.729		12.725		2.783
5750.919		15.489		1.695
5779.110		10.831		2.801
5807.301		10.082		3.944
5835.492		9.383		4.502
5863.682		11.348		4.993
5891.873		13.153		4.257
5920.064		13.695		4.166
5948.254		14.114		4.804
5976.446		12.674		3.639
6004.636		6.775		3.547
6032.827		4.378		3.398
6061.018		1.665		3.813
6089.208		3.806		2.508
6117.400		12.013		2.458
6145.590		8.747		2.190
6173.781		9.632		1.785
6201.972		5.117		2.492
6230.163		3.639		2.590
6258.353		2.309		2.341
6286.544		9.880		2.717
6314.734		14.172		2.923
6342.926		10.274		2.646
6371.117		9.289		2.769
6399.307		9.256		3.363
6427.498		9.191		2.980
6455.688		7.498		3.722
6483.879		4.426		3.078
6512.070		9.029		4.128
6540.261		11.824		3.768
6568.451		9.479		4.504
6596.643		5.509		4.177
6624.833		10.961		2.522
6653.024		12.113		2.617
6681.215		9.862		3.687
6709.405		9.569		2.994
6737.597		11.402		3.070
6765.787		0.016		3.334
6793.978		7.343		3.480
6822.169		4.407		4.786
6850.359		6.546		3.392
6878.550		6.345		2.113
6906.741		4.542		3.547
6934.932		6.277		4.201
6963.123		3.431		4.614
6991.313		4.598		3.798
7019.504		3.073		3.093
7047.695		2.732		4.698
7075.886		5.817		5.277
7104.076		4.436		4.858
7132.268		5.234		4.840
7160.458		7.521		6.036
7188.649		6.113		5.574
7216.840		5.292		5.814
7245.030		7.391		4.386
7273.221		6.729		4.608
7301.412		6.111		5.195
7329.603		3.999		5.290
7357.794		9.709		3.930
7385.984		12.356		4.745
7414.175		8.545		4.200
7442.366		5.001		5.010
7470.557		6.886		5.881
7498.748		6.800		5.165
7526.938		7.670		5.312
7555.129		6.126		4.148
7583.320		6.385		3.619
7611.511		7.438		4.497
7639.701		0.005		4.039
7667.892		3.995		2.309
7696.083		5.571		2.244
7724.274		6.340		2.910
7752.465		2.395		3.044
7780.655		4.247		2.329
7808.847		1.982		2.506
7837.037		6.296		2.818
7865.228		12.097		2.444
7893.418		7.226		3.695
7921.609		3.822		3.031
7949.800		5.290		2.952
7977.991		3.837		2.190
8006.182		5.082		1.769
8034.373		4.970		1.672
8062.563		0.145		2.358
8090.753		2.365		2.315
8118.945		3.427		1.814
8147.136		5.100		1.613
8175.326		7.565		1.906
8203.517		7.129		2.330
8231.709		6.738		2.243
8259.898		2.074		3.172
8288.089		6.925		3.379
8316.280		4.746		2.389
8344.471		5.299		2.508
8372.661		3.261		2.542
8400.853		1.026		2.605
8429.044		1.456		2.776
8457.234		4.276		1.962
8485.425		5.464		1.381
8513.615		6.412		1.232
8541.807		9.162		1.741
8569.997		6.935		2.237
8598.188		7.894		1.055
8626.379		10.716		2.418
8654.569		8.864		2.664
8682.760		6.093		2.319
8710.952		1.883		3.559
8739.143		7.043		3.847
8767.333		0.131		3.407
8795.522		2.116		3.463
8823.714		0.096		5.022
8851.905		3.466		4.669
8880.096		2.645		4.742
8908.286		8.298		4.756
8936.478		10.370		4.160
8964.668		14.093		4.632
8992.859		16.365		5.398
