z[m]		ws[m/s]		rms[m/s]
0.000		7.486		0.951
28.191		10.282		0.919
56.382		13.443		0.861
84.572		9.830		0.137
112.763		11.444		0.138
140.954		12.785		0.143
169.145		14.073		0.159
197.335		15.455		0.169
225.526		16.847		0.113
253.717		17.856		0.080
281.908		18.606		0.078
310.099		19.235		0.126
338.289		19.533		0.121
366.480		19.393		0.054
394.671		18.931		0.051
422.862		18.416		0.063
451.052		17.882		0.067
479.243		17.606		0.053
507.434		17.538		0.052
535.625		17.491		0.049
563.816		17.502		0.048
592.006		17.415		0.059
620.197		17.382		0.049
648.388		17.263		0.060
676.579		17.155		0.057
704.769		17.010		0.041
732.960		16.924		0.051
761.151		16.904		0.051
789.342		16.879		0.065
817.533		16.741		0.054
845.723		16.547		0.043
873.914		16.379		0.042
902.105		16.232		0.054
930.296		16.236		0.064
958.487		16.209		0.076
986.677		16.359		0.045
1014.868		16.295		0.029
1043.059		16.311		0.043
1071.250		16.286		0.051
1099.440		16.486		0.035
1127.631		16.577		0.056
1155.822		16.699		0.083
1184.013		16.691		0.077
1212.203		16.625		0.101
1240.394		16.606		0.128
1268.585		16.552		0.130
1296.776		16.467		0.114
1324.967		16.490		0.118
1353.157		16.467		0.114
1381.348		16.425		0.126
1409.539		16.296		0.144
1437.730		16.134		0.170
1465.921		15.928		0.178
1494.111		15.593		0.225
1522.302		15.321		0.262
1550.493		15.181		0.270
1578.684		14.286		0.242
1606.875		14.144		0.297
1635.065		12.854		0.427
1663.256		12.478		0.416
1691.447		11.792		0.573
1719.638		10.913		0.557
1747.828		8.482		1.025
1776.019		9.132		1.045
1804.210		9.036		1.100
1832.401		9.817		1.067
1860.592		9.456		0.936
1888.782		9.381		1.192
1916.973		9.116		1.178
1945.164		10.747		0.768
1973.355		10.082		0.714
2001.545		10.176		0.671
2029.736		7.832		1.327
2057.927		7.803		1.512
2086.118		7.993		1.527
2114.309		7.916		1.125
2142.499		8.057		1.139
2170.690		7.705		1.085
2198.881		6.689		1.066
2227.072		8.295		1.006
2255.263		8.811		0.656
2283.453		8.962		0.665
2311.644		9.228		0.762
2339.835		9.689		0.636
2368.026		10.285		0.515
2396.216		11.044		0.482
2424.407		11.828		0.434
2452.598		11.204		0.443
2480.789		11.735		0.394
2508.979		11.485		0.346
2537.170		11.154		0.358
2565.361		11.855		0.317
2593.552		11.037		0.257
2621.742		8.636		0.550
2649.933		9.142		0.876
2678.124		8.076		1.863
2706.315		6.003		1.685
2734.506		3.437		0.969
2762.697		3.115		1.257
2790.887		2.631		1.851
2819.078		4.233		3.168
2847.269		6.136		4.115
2875.459		7.969		5.672
2903.650		5.710		5.003
2931.841		5.612		4.632
2960.032		7.208		3.946
2988.223		9.493		3.058
3016.413		9.598		2.191
3044.604		7.556		1.404
