z[m]		ws[m/s]		rms[m/s]
3072.795		5.609		1.950
3100.986		7.965		1.658
3129.177		7.894		2.112
3157.367		6.214		2.823
3185.558		2.853		2.720
3213.749		1.261		2.606
3241.940		4.440		1.721
3270.131		5.332		1.977
3298.321		4.938		1.706
3326.512		5.875		2.301
3354.703		6.623		1.609
3382.894		12.139		2.497
3411.084		13.531		2.799
3439.275		15.398		2.733
3467.466		13.219		3.237
3495.657		14.000		2.904
3523.848		9.477		2.189
3552.038		10.388		2.859
3580.229		8.269		2.885
3608.420		8.107		3.331
3636.611		10.208		3.434
3664.802		5.510		2.402
3692.992		8.305		3.405
3721.183		8.414		4.282
3749.374		11.658		4.914
3777.564		12.369		3.997
3805.756		11.539		3.970
3833.946		8.243		2.625
3862.137		10.627		2.547
3890.327		6.643		2.193
3918.519		5.192		1.292
3946.709		1.205		0.885
3974.900		0.759		0.980
4003.091		0.629		0.952
4031.281		2.294		0.769
4059.473		4.485		1.770
4087.663		4.477		1.951
4115.854		3.151		2.339
4144.044		5.798		2.913
4172.235		4.660		2.028
4200.426		3.397		1.828
4228.617		4.482		2.164
4256.808		5.155		1.480
4284.999		3.382		1.267
4313.189		2.726		2.636
4341.380		1.777		3.438
4369.571		0.724		3.419
4397.761		3.097		3.526
4425.953		5.478		2.077
4454.143		5.241		2.608
4482.334		4.857		2.578
4510.525		4.924		1.700
4538.715		0.490		1.376
4566.906		4.541		1.525
4595.097		2.806		1.979
4623.288		5.305		2.283
4651.479		6.047		1.782
4679.669		5.776		1.886
4707.860		4.548		1.708
4736.051		2.263		2.196
4764.242		4.996		1.866
4792.433		3.029		2.388
4820.624		4.317		2.203
4848.814		4.579		3.062
4877.005		4.344		2.593
4905.196		2.018		3.281
4933.386		0.355		2.863
4961.578		4.813		3.583
4989.768		6.530		3.405
5017.959		6.475		4.654
5046.150		7.062		3.341
5074.340		9.992		3.182
5102.531		8.085		3.046
5130.722		8.265		4.268
5158.913		4.677		3.759
5187.104		4.707		2.889
5215.294		4.181		3.357
5243.485		1.975		3.135
5271.676		3.068		3.888
5299.867		3.016		4.091
5328.058		4.626		3.335
5356.248		5.384		2.933
5384.439		4.410		2.548
5412.630		7.802		1.988
5440.821		5.482		2.358
5469.011		4.809		2.313
5497.202		4.878		2.581
5525.393		10.780		3.862
5553.583		10.105		3.895
5581.775		8.833		4.498
5609.965		8.338		3.908
5638.156		2.656		3.129
5666.347		2.060		2.937
5694.538		4.808		1.590
5722.729		2.952		2.414
5750.919		5.331		2.762
5779.110		5.882		3.178
5807.301		9.540		3.282
5835.492		14.725		3.981
5863.682		18.953		4.756
5891.873		16.430		4.465
5920.064		15.820		3.646
5948.254		13.795		2.820
5976.446		13.648		2.837
6004.636		12.301		2.261
6032.827		5.957		2.208
6061.018		4.335		1.782
6089.208		2.627		2.191
6117.400		3.913		3.333
6145.590		2.597		3.504
6173.781		1.046		2.767
6201.972		2.721		3.244
6230.163		1.280		2.727
6258.353		1.125		1.278
6286.544		0.123		1.347
6314.734		2.592		2.919
6342.926		4.313		4.076
6371.117		3.004		2.448
6399.307		6.800		3.052
6427.498		5.922		2.721
6455.688		6.830		2.345
6483.879		4.494		2.893
6512.070		7.094		2.643
6540.261		9.359		3.954
6568.451		10.143		3.505
6596.643		8.205		3.662
6624.833		10.203		4.071
6653.024		10.336		3.530
6681.215		11.972		2.965
6709.405		5.226		1.695
6737.597		1.659		1.409
6765.787		3.332		2.763
6793.978		4.322		2.742
6822.169		3.234		3.298
6850.359		2.293		3.693
6878.550		2.536		3.364
6906.741		3.018		3.407
6934.932		1.147		3.718
6963.123		4.731		3.182
6991.313		6.707		2.652
7019.504		3.623		2.267
7047.695		4.381		2.747
7075.886		1.360		2.327
7104.076		0.750		2.404
7132.268		0.466		2.655
7160.458		2.495		3.258
7188.649		2.948		3.649
7216.840		8.304		3.954
7245.030		4.194		3.042
7273.221		9.116		2.840
7301.412		7.853		2.235
7329.603		7.894		2.254
7357.794		7.835		2.359
7385.984		3.974		2.234
7414.175		8.202		1.212
7442.366		4.732		0.600
7470.557		6.146		1.928
7498.748		4.741		1.400
7526.938		3.132		1.201
7555.129		3.087		1.068
7583.320		1.187		1.449
7611.511		4.655		1.225
7639.701		1.573		1.198
7667.892		2.388		2.241
7696.083		2.016		2.056
7724.274		4.625		1.011
7752.465		4.674		0.900
7780.655		1.415		1.721
7808.847		2.164		1.312
7837.037		3.208		1.471
7865.228		5.871		3.259
7893.418		6.264		4.263
7921.609		8.593		4.185
7949.800		6.295		4.095
7977.991		5.740		3.503
8006.182		4.323		3.210
8034.373		5.063		3.177
8062.563		2.590		4.336
8090.753		1.440		3.709
8118.945		2.885		3.466
8147.136		1.694		3.536
8175.326		3.017		3.030
8203.517		7.124		2.521
8231.709		7.935		2.533
8259.898		5.491		1.540
8288.089		4.565		2.014
8316.280		3.055		1.855
8344.471		4.547		0.879
8372.661		3.500		1.156
8400.853		7.771		1.030
8429.044		8.146		1.017
8457.234		9.824		1.722
8485.425		7.572		1.209
8513.615		7.307		1.116
8541.807		6.257		0.911
8569.997		6.186		1.663
8598.188		2.456		1.771
8626.379		4.497		2.004
8654.569		2.150		1.253
8682.760		4.553		2.898
8710.952		3.393		3.035
8739.143		4.376		2.714
8767.333		3.447		3.005
8795.522		3.291		3.203
8823.714		4.263		2.200
8851.905		8.158		2.100
8880.096		9.343		1.745
8908.286		9.998		1.299
8936.478		7.229		1.595
8964.668		8.892		2.103
8992.859		8.667		2.870
