z[m]		ws[m/s]		rms[m/s]
0.000		0.254		0.060
28.191		2.712		0.047
56.382		5.652		0.062
84.572		8.849		0.071
112.763		9.628		0.040
140.954		10.194		0.072
169.145		10.433		0.085
197.335		10.474		0.155
225.526		10.452		0.236
253.717		10.283		0.266
281.908		10.341		0.288
310.099		10.329		0.257
338.289		10.596		0.190
366.480		10.831		0.103
394.671		11.176		0.111
422.862		11.425		0.143
451.052		11.473		0.092
479.243		11.530		0.125
507.434		11.719		0.153
535.625		11.968		0.189
563.816		12.062		0.198
592.006		11.969		0.202
620.197		11.986		0.198
648.388		11.851		0.218
676.579		11.826		0.218
704.769		11.823		0.203
732.960		12.049		0.154
761.151		12.310		0.134
789.342		12.407		0.146
817.533		12.443		0.169
845.723		12.287		0.171
873.914		12.393		0.153
902.105		12.299		0.111
930.296		12.120		0.076
958.487		11.676		0.089
986.677		11.425		0.128
1014.868		11.417		0.169
1043.059		11.601		0.138
1071.250		11.599		0.135
1099.440		11.525		0.124
1127.631		11.491		0.113
1155.822		11.336		0.149
1184.013		11.374		0.137
1212.203		11.369		0.131
1240.394		11.293		0.142
1268.585		11.178		0.109
1296.776		11.024		0.133
1324.967		10.839		0.130
1353.157		10.811		0.137
1381.348		10.866		0.141
1409.539		11.133		0.127
1437.730		11.433		0.100
1465.921		11.434		0.099
1494.111		11.533		0.139
1522.302		11.836		0.091
1550.493		11.781		0.107
1578.684		11.486		0.122
1606.875		11.610		0.103
1635.065		11.569		0.056
1663.256		11.579		0.120
1691.447		11.372		0.202
1719.638		11.440		0.273
1747.828		11.134		0.178
1776.019		11.270		0.225
1804.210		11.457		0.177
1832.401		11.369		0.142
1860.592		10.581		0.714
1888.782		10.573		0.547
1916.973		10.389		0.582
1945.164		10.082		0.517
1973.355		9.899		0.536
2001.545		9.817		0.613
2029.736		9.891		0.137
2057.927		9.391		0.083
2086.118		9.339		0.108
2114.309		9.472		0.112
2142.499		8.020		0.609
2170.690		7.742		0.649
2198.881		7.424		0.727
2227.072		6.858		0.771
2255.263		6.221		0.705
2283.453		7.131		1.161
2311.644		4.663		0.898
2339.835		4.908		0.566
2368.026		6.538		1.308
2396.216		7.645		1.376
2424.407		7.811		1.329
2452.598		8.727		1.212
2480.789		6.922		1.194
2508.979		7.319		1.191
2537.170		5.561		1.009
2565.361		4.661		0.828
2593.552		5.220		1.190
2621.742		7.785		1.155
2649.933		8.325		1.714
2678.124		7.668		1.693
2706.315		7.112		2.121
2734.506		5.035		2.685
2762.697		5.149		2.090
2790.887		4.330		2.156
2819.078		5.307		2.476
2847.269		3.546		2.210
2875.459		5.971		1.592
2903.650		6.175		1.200
2931.841		7.984		2.001
2960.032		7.451		1.902
2988.223		5.252		2.379
3016.413		5.505		2.551
3044.604		6.176		2.611
3072.795		6.349		1.613
3100.986		5.214		0.935
3129.177		5.324		1.157
3157.367		9.452		1.051
3185.558		12.516		1.759
3213.749		12.805		2.203
3241.940		7.378		2.385
3270.131		7.673		2.871
3298.321		9.317		2.118
3326.512		10.060		2.852
3354.703		7.624		2.779
3382.894		4.403		3.019
3411.084		1.123		3.194
3439.275		3.954		3.701
3467.466		1.575		3.211
3495.657		4.202		2.646
3523.848		5.102		2.352
3552.038		6.568		2.490
3580.229		1.542		2.590
3608.420		5.079		2.110
3636.611		6.344		2.197
3664.802		8.546		1.684
3692.992		10.988		1.914
3721.183		10.372		2.679
3749.374		11.277		2.493
3777.564		8.796		1.611
3805.756		5.656		1.806
3833.946		5.341		1.821
3862.137		2.703		2.045
3890.327		7.214		1.600
3918.519		8.298		1.362
3946.709		4.450		1.800
3974.900		6.256		2.395
4003.091		5.999		2.417
4031.281		4.293		3.491
4059.473		2.896		3.041
4087.663		4.353		3.026
4115.854		3.128		4.079
4144.044		6.642		4.045
4172.235		4.982		2.986
4200.426		4.317		3.184
4228.617		5.275		3.151
4256.808		4.581		2.898
4284.999		3.238		3.289
4313.189		7.209		3.512
4341.380		7.776		2.503
4369.571		5.577		2.212
4397.761		4.529		2.187
4425.953		8.058		2.254
4454.143		8.848		1.987
4482.334		9.081		2.423
4510.525		10.048		2.715
4538.715		9.520		2.025
4566.906		11.613		2.204
4595.097		10.923		1.401
4623.288		11.000		1.478
4651.479		8.335		1.348
4679.669		4.910		1.067
4707.860		2.033		1.587
4736.051		1.594		1.379
4764.242		1.529		2.054
4792.433		2.816		2.682
4820.624		2.011		3.114
4848.814		2.253		2.004
4877.005		3.199		1.653
4905.196		9.657		2.318
4933.386		6.897		2.969
4961.578		6.784		2.311
4989.768		5.688		1.970
5017.959		5.131		1.580
5046.150		2.263		2.488
5074.340		3.106		1.942
5102.531		5.601		1.993
5130.722		10.381		2.797
5158.913		8.434		3.004
5187.104		11.297		2.664
5215.294		6.923		2.802
5243.485		6.412		2.734
5271.676		7.411		1.661
5299.867		9.916		2.199
5328.058		5.786		2.358
5356.248		8.688		1.339
5384.439		6.193		1.427
5412.630		7.343		1.381
5440.821		3.944		2.762
5469.011		2.781		2.676
5497.202		1.745		3.110
5525.393		2.719		2.680
5553.583		3.272		2.112
5581.775		4.550		1.701
5609.965		4.037		2.024
5638.156		4.522		1.255
5666.347		4.829		2.209
5694.538		6.664		1.944
5722.729		7.812		3.217
5750.919		5.501		3.703
5779.110		1.390		4.954
5807.301		1.512		4.646
5835.492		1.654		4.675
5863.682		7.170		4.329
5891.873		4.749		4.954
5920.064		1.210		4.574
5948.254		5.438		3.247
5976.446		5.739		2.210
6004.636		5.984		2.097
6032.827		8.481		1.753
6061.018		10.413		2.096
6089.208		9.900		1.948
6117.400		8.352		2.671
6145.590		5.679		2.553
6173.781		6.200		1.828
6201.972		1.310		1.932
6230.163		3.176		2.074
6258.353		6.102		2.797
6286.544		7.806		2.121
6314.734		7.680		2.070
6342.926		5.126		2.599
6371.117		6.263		2.729
6399.307		7.356		3.260
6427.498		5.539		2.504
6455.688		6.129		1.865
6483.879		3.054		1.642
6512.070		6.894		2.483
6540.261		3.887		2.132
6568.451		4.584		2.794
6596.643		6.635		2.881
6624.833		9.777		1.907
6653.024		8.545		0.818
6681.215		13.857		2.167
6709.405		11.488		2.464
6737.597		12.358		3.380
6765.787		10.293		3.409
6793.978		10.390		3.080
6822.169		9.043		3.698
6850.359		8.113		2.417
6878.550		6.036		1.538
6906.741		4.081		1.088
6934.932		5.123		1.533
6963.123		3.860		1.920
6991.313		2.916		1.796
7019.504		1.182		2.060
7047.695		3.455		1.696
7075.886		3.667		1.793
7104.076		4.988		1.322
7132.268		4.979		1.953
7160.458		3.928		0.975
7188.649		6.249		2.330
7216.840		5.675		2.966
7245.030		5.889		2.412
7273.221		3.140		2.572
7301.412		3.221		1.831
7329.603		3.916		0.909
7357.794		0.872		1.583
7385.984		2.064		2.273
7414.175		1.319		2.832
7442.366		3.051		3.356
7470.557		0.166		2.590
7498.748		4.827		2.722
7526.938		3.947		2.753
7555.129		1.157		3.323
7583.320		2.626		2.288
7611.511		1.775		2.148
7639.701		4.211		3.239
7667.892		4.710		2.098
7696.083		5.986		2.712
