z[m]		ws[m/s]		rms[m/s]
7724.274		6.334		2.798
7752.465		8.243		3.669
7780.655		9.893		3.375
7808.847		5.709		3.715
7837.037		2.370		4.436
7865.228		2.430		4.326
7893.418		2.888		1.883
7921.609		5.439		1.871
7949.800		5.481		1.877
7977.991		10.709		2.432
8006.182		11.455		2.417
8034.373		8.032		3.035
8062.563		9.765		3.168
8090.753		8.171		2.927
8118.945		8.035		3.106
8147.136		8.059		3.612
8175.326		3.465		3.889
8203.517		6.858		2.303
8231.709		2.609		1.081
8259.898		0.218		2.325
8288.089		4.276		2.228
8316.280		6.649		1.476
8344.471		5.623		2.069
8372.661		7.032		2.078
8400.853		9.199		1.727
8429.044		6.101		0.918
8457.234		6.335		1.745
8485.425		2.662		1.371
8513.615		1.973		1.079
8541.807		2.448		1.938
8569.997		3.250		1.814
8598.188		3.661		2.807
8626.379		0.806		3.117
8654.569		2.806		3.840
8682.760		4.365		3.754
8710.952		3.076		2.883
8739.143		2.130		2.446
8767.333		4.608		2.051
8795.522		1.179		1.694
8823.714		2.563		1.845
8851.905		7.790		2.027
8880.096		7.308		2.498
8908.286		10.741		2.577
8936.478		14.561		2.101
8964.668		20.832		2.032
8992.859		22.589		2.345
