z[m]		ws[m/s]		rms[m/s]
0.000		4.685		1.574
28.191		7.298		1.674
56.382		10.952		1.769
84.572		11.307		0.362
112.763		11.021		0.241
140.954		10.178		0.139
169.145		9.628		0.208
197.335		9.218		0.470
225.526		8.721		0.538
253.717		8.155		0.656
281.908		6.571		0.682
310.099		5.847		0.787
338.289		5.642		0.833
366.480		6.310		0.749
394.671		6.399		0.766
422.862		6.101		0.838
451.052		4.937		0.983
479.243		3.509		0.990
507.434		2.804		0.944
535.625		2.491		0.830
563.816		2.529		0.639
592.006		2.479		0.605
620.197		2.470		0.714
648.388		2.065		0.750
676.579		1.146		0.740
704.769		0.740		0.674
732.960		0.082		0.627
761.151		0.872		0.549
789.342		1.554		0.428
817.533		1.940		0.391
845.723		2.292		0.372
873.914		3.226		0.270
902.105		3.819		0.410
930.296		3.981		0.651
958.487		4.400		0.902
986.677		5.329		1.316
1014.868		5.736		1.409
1043.059		6.499		1.198
1071.250		7.053		0.823
1099.440		8.627		0.836
1127.631		9.807		0.908
1155.822		10.964		1.052
1184.013		12.333		1.218
1212.203		13.831		1.389
1240.394		14.998		1.441
1268.585		16.119		1.507
1296.776		16.192		1.635
1324.967		16.064		1.704
1353.157		15.747		1.714
1381.348		14.490		2.218
1409.539		14.907		2.070
1437.730		15.308		1.956
1465.921		15.459		1.964
1494.111		15.546		1.995
1522.302		16.780		1.455
1550.493		15.726		1.707
1578.684		17.021		1.753
1606.875		15.835		2.845
1635.065		14.184		3.374
1663.256		14.199		4.276
1691.447		13.735		3.605
1719.638		11.240		3.505
1747.828		14.896		1.773
1776.019		18.224		1.499
1804.210		18.688		1.306
1832.401		13.727		1.707
1860.592		13.962		2.342
1888.782		10.780		1.972
1916.973		5.264		2.438
1945.164		3.314		3.370
1973.355		2.280		3.321
2001.545		3.418		3.659
2029.736		6.158		3.053
2057.927		7.823		3.300
2086.118		11.577		3.338
2114.309		14.855		2.832
2142.499		14.212		3.101
2170.690		14.817		2.998
2198.881		11.579		2.541
2227.072		12.480		2.277
2255.263		11.685		2.759
2283.453		5.541		2.211
2311.644		7.373		2.784
2339.835		8.996		2.683
2368.026		8.949		2.521
2396.216		10.607		2.012
2424.407		9.734		2.447
2452.598		8.488		1.750
2480.789		9.019		2.489
2508.979		7.989		2.657
2537.170		5.602		1.862
2565.361		3.870		1.552
2593.552		5.530		1.529
2621.742		3.118		1.267
2649.933		1.461		1.857
2678.124		3.810		2.326
2706.315		5.644		2.751
2734.506		6.980		3.407
2762.697		7.838		3.709
2790.887		11.242		3.290
2819.078		5.967		2.972
2847.269		4.049		2.691
2875.459		4.267		1.879
2903.650		2.629		1.843
2931.841		1.187		2.061
2960.032		2.657		2.472
2988.223		3.216		2.680
3016.413		4.475		3.404
3044.604		4.277		3.530
3072.795		0.070		3.574
3100.986		1.640		1.200
3129.177		3.079		0.952
3157.367		6.402		1.031
3185.558		7.400		1.161
3213.749		3.437		1.699
3241.940		0.982		2.125
3270.131		3.253		1.579
3298.321		6.879		1.620
