z[m]		ws[m/s]		rms[m/s]
3326.512		5.899		1.693
3354.703		4.909		2.310
3382.894		1.587		2.346
3411.084		7.137		3.490
3439.275		8.603		3.191
3467.466		7.026		1.838
3495.657		3.721		1.865
3523.848		1.744		1.537
3552.038		4.114		1.726
3580.229		1.839		1.781
3608.420		4.720		2.802
3636.611		5.301		3.443
3664.802		5.965		3.316
3692.992		4.833		1.687
3721.183		6.543		1.937
3749.374		4.456		1.584
3777.564		6.084		1.550
3805.756		8.507		1.918
3833.946		9.122		2.390
3862.137		10.666		2.189
3890.327		9.205		2.935
3918.519		9.256		2.793
3946.709		9.951		2.913
3974.900		10.756		2.537
4003.091		10.636		2.713
4031.281		13.691		3.178
4059.473		14.362		3.611
4087.663		14.254		3.255
4115.854		16.013		2.856
4144.044		11.294		2.215
4172.235		7.060		2.310
4200.426		9.676		1.918
4228.617		8.422		1.639
4256.808		7.153		1.875
4284.999		10.893		1.084
4313.189		4.997		1.956
4341.380		7.196		0.945
4369.571		10.840		0.779
4397.761		9.216		1.808
4425.953		10.603		1.503
4454.143		8.740		2.073
4482.334		4.497		1.660
4510.525		9.838		2.071
4538.715		11.049		2.596
4566.906		0.079		3.584
4595.097		10.278		2.494
4623.288		9.348		2.682
4651.479		9.256		2.947
4679.669		12.774		2.273
4707.860		9.366		2.155
4736.051		7.847		1.033
4764.242		7.052		1.409
4792.433		7.320		1.307
4820.624		6.129		2.127
4848.814		8.210		2.295
4877.005		5.352		2.148
4905.196		2.632		2.168
4933.386		1.457		2.074
4961.578		0.059		3.180
4989.768		5.212		2.692
5017.959		5.654		1.987
5046.150		4.459		2.629
5074.340		5.903		2.077
5102.531		5.442		3.084
5130.722		7.995		3.576
5158.913		8.569		2.836
5187.104		6.076		2.326
5215.294		5.552		3.658
5243.485		5.461		3.612
5271.676		9.385		3.535
5299.867		2.478		2.879
5328.058		4.214		2.486
5356.248		1.921		2.344
5384.439		1.658		3.451
5412.630		5.551		3.177
5440.821		12.377		3.071
5469.011		14.243		2.787
5497.202		11.509		2.648
5525.393		8.376		3.036
5553.583		8.606		3.278
5581.775		8.609		3.132
5609.965		5.517		3.440
5638.156		2.568		3.054
5666.347		5.350		2.654
5694.538		4.685		2.377
5722.729		5.171		2.256
5750.919		3.965		3.080
5779.110		2.285		2.705
5807.301		3.712		3.128
5835.492		6.392		3.119
5863.682		9.024		1.851
5891.873		10.229		2.798
5920.064		8.079		2.407
5948.254		5.977		2.871
5976.446		8.577		3.467
6004.636		10.974		3.559
6032.827		13.464		2.385
6061.018		8.890		3.012
6089.208		8.243		2.347
6117.400		8.002		3.398
6145.590		7.466		3.327
6173.781		4.127		3.392
6201.972		3.939		1.995
6230.163		5.064		2.165
6258.353		7.611		1.999
6286.544		3.348		2.625
6314.734		6.779		2.075
6342.926		4.574		2.314
6371.117		8.226		2.268
6399.307		8.336		2.311
6427.498		9.226		2.704
6455.688		11.521		2.531
6483.879		10.331		3.628
6512.070		6.527		4.121
6540.261		5.716		2.081
6568.451		1.912		2.023
6596.643		5.135		2.758
6624.833		3.741		2.480
6653.024		4.021		1.377
6681.215		5.283		0.608
6709.405		9.013		1.097
6737.597		9.145		2.045
6765.787		13.733		2.912
6793.978		14.705		3.096
6822.169		10.982		2.712
6850.359		11.198		2.546
6878.550		6.783		2.656
6906.741		5.297		1.866
6934.932		6.799		1.912
6963.123		6.530		1.373
6991.313		2.816		2.124
7019.504		2.885		2.689
7047.695		1.228		2.729
7075.886		3.863		2.434
7104.076		2.942		2.868
7132.268		1.600		2.279
7160.458		0.614		2.535
7188.649		5.611		2.798
7216.840		3.123		2.327
7245.030		2.647		1.266
7273.221		5.994		2.282
7301.412		4.804		2.503
7329.603		1.045		3.139
7357.794		3.172		3.522
7385.984		4.041		2.848
7414.175		6.842		3.164
7442.366		9.762		3.733
7470.557		9.414		2.864
7498.748		6.588		3.598
7526.938		7.743		2.995
7555.129		4.998		3.466
7583.320		1.482		2.838
7611.511		4.568		1.768
7639.701		1.408		1.040
7667.892		3.945		1.552
7696.083		4.071		2.469
7724.274		5.413		2.673
7752.465		3.559		3.111
7780.655		2.548		3.201
7808.847		1.770		2.883
7837.037		1.860		3.497
7865.228		2.888		3.946
7893.418		5.925		2.555
7921.609		6.206		2.693
7949.800		2.157		2.683
7977.991		2.803		1.428
8006.182		0.964		1.582
8034.373		1.808		2.355
8062.563		3.944		2.225
8090.753		4.285		2.890
8118.945		7.026		2.770
8147.136		6.919		2.570
8175.326		5.131		2.041
8203.517		7.253		2.076
8231.709		10.200		2.382
8259.898		7.915		2.481
8288.089		11.488		1.963
8316.280		12.256		1.671
8344.471		12.915		2.512
8372.661		16.708		2.000
8400.853		16.155		2.356
8429.044		15.258		1.771
8457.234		20.552		1.819
8485.425		16.608		0.817
8513.615		12.450		0.848
8541.807		13.053		1.745
8569.997		6.448		1.393
8598.188		7.149		2.171
8626.379		6.218		2.704
8654.569		3.109		2.645
8682.760		3.068		2.152
8710.952		2.221		2.364
8739.143		4.169		2.703
8767.333		8.000		1.970
8795.522		6.915		2.031
8823.714		6.693		2.433
8851.905		7.850		2.581
8880.096		5.952		1.726
8908.286		6.915		1.407
8936.478		3.008		1.528
8964.668		0.951		1.820
8992.859		0.441		1.433
