P[mb]	z[m]	T[C]	Td[C]	WS[m/s]
927.0	0.00	19.6	15.0	0.000
925.5	0.01	19.7	15.4	11.668
924.0	0.02	19.5	15.2	11.554
924.0	0.03	19.4	15.2	11.431
923.9	0.04	19.4	15.2	11.328
924.0	23.00	19.4	15.2	11.235
923.7	46.00	19.3	15.2	11.169
923.4	47.50	19.3	15.3	11.107
923.2	49.00	19.3	15.3	11.061
923.1	49.50	19.3	15.4	11.004
922.9	50.00	19.3	15.4	10.937
922.7	53.00	19.2	15.5	10.870
922.4	56.00	19.2	15.6	10.803
922.2	57.00	19.3	15.7	10.757
921.9	60.00	19.3	15.7	10.731
921.7	63.00	19.3	15.7	10.731
921.4	66.00	19.4	15.8	10.747
921.1	70.00	19.3	15.8	10.757
920.8	73.00	19.6	16.0	10.767
920.5	77.00	19.7	16.1	10.747
920.2	80.00	19.9	16.3	10.700
919.9	83.00	20.0	16.4	10.644
919.5	86.00	20.1	16.4	10.577
919.2	90.00	20.0	16.3	10.510
918.9	94.00	19.9	16.3	10.443
918.5	95.00	20.1	16.4	10.397
918.2	98.00	20.1	16.4	10.366
917.8	101.00	20.3	16.5	10.345
917.4	103.00	20.6	16.7	10.356
917.1	107.00	20.9	16.9	10.361
916.7	110.00	21.0	16.9	10.325
916.3	114.00	21.0	16.9	10.227
916.0	117.00	21.1	16.9	10.201
915.6	120.00	21.1	16.9	10.109
915.3	123.00	21.1	16.8	9.975
914.9	127.00	21.3	16.9	9.841
914.5	130.00	21.3	16.9	9.702
914.2	134.00	21.3	16.8	9.507
913.9	137.90	21.4	16.8	9.353
913.5	140.40	21.4	16.7	9.250
913.2	142.90	21.4	16.7	9.183
912.8	146.40	21.4	16.6	9.167
912.5	149.90	21.5	16.6	9.188
912.2	153.40	21.5	16.6	9.167
911.8	156.90	21.5	16.5	9.131
911.5	159.40	21.4	16.5	9.095
911.2	161.90	21.4	16.4	9.059
910.9	164.40	21.4	16.4	8.972
910.6	166.90	21.4	16.4	8.905
910.3	169.90	21.5	16.3	8.859
910.0	172.90	21.5	16.3	8.838
909.7	175.90	21.4	16.2	8.838
909.5	178.90	21.4	16.2	8.843
909.2	180.90	21.3	16.1	8.833
908.9	183.90	21.2	16.0	8.807
908.6	186.90	21.3	16.0	8.782
908.4	188.90	21.4	16.0	8.751
908.1	191.90	21.5	16.1	8.694
907.8	193.90	21.5	16.1	8.643
907.6	196.90	21.4	16.0	8.591
907.3	199.90	21.4	15.9	8.550
907.0	201.90	21.6	16.1	8.519
906.7	204.40	21.7	16.1	8.483
906.5	206.90	21.6	16.1	8.442
906.2	209.90	21.6	16.0	8.391
905.9	212.90	21.7	16.1	8.344
905.6	215.90	21.8	16.1	8.298
905.3	218.90	21.7	16.1	8.247
905.1	221.40	21.6	16.0	8.195
904.8	223.90	21.6	15.9	8.139
904.5	225.90	21.7	16.0	8.077
904.2	227.90	21.8	16.0	8.010
903.9	230.90	21.8	16.0	7.933
903.6	233.90	21.8	15.9	7.850
903.2	237.40	21.7	15.9	7.763
902.9	240.90	21.7	15.9	7.670
902.6	244.40	21.7	15.8	7.588
902.2	247.90	21.6	15.7	7.511
901.8	251.90	21.5	15.6	7.434
901.5	255.90	21.6	15.6	7.357
901.1	260.90	21.6	15.6	7.279
900.6	264.80	21.4	15.5	7.207
900.2	269.80	21.3	15.4	7.125
899.8	273.80	21.3	15.4	7.048
899.3	278.80	21.3	15.3	6.976
898.9	283.80	21.2	15.3	6.904
898.4	288.80	21.2	15.2	6.827
898.0	292.80	21.2	15.2	6.750
897.5	297.80	21.1	15.2	6.667
897.0	301.80	21.0	15.1	6.575
896.5	305.80	21.0	15.1	6.487
896.1	310.80	20.9	15.0	6.395
895.6	314.80	20.9	15.0	6.302
895.1	319.80	20.8	14.9	6.220
894.7	324.80	20.8	14.9	6.148
894.2	329.80	20.8	15.0	6.076
